procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 867304 4736216  14964 693584    0    0     0    14  163  103  0  0 100  0  0
 0  0 867304 4736216  14968 693588    0    0     2    10  160   90  0  0 100  0  0
 0  0 867304 4736216  14968 693592    6    0     6     0  207  123  0  0 100  0  0
 0  0 867304 4736216  14976 693584    0    0     0    18  151   92  0  0 100  0  0
 0  0 867304 4736216  14976 693596    0    0     0     8  176  107  0  0 100  0  0
 0  0 867304 4736216  14976 693596    0    0     0     0  184  106  0  0 100  0  0
 0  0 867304 4736216  14984 693588    0    0     0    18  184  109  0  0 100  0  0
 0  0 867304 4736216  14984 693596    0    0     0     6  166   93  0  0 100  0  0
 0  0 867304 4736216  14984 693596    0    0     0     0  174  107  0  0 100  0  0
 0  0 867304 4736216  14992 693592   50    0    50    14  217  149  0  0 100  0  0
 0  0 867304 4736216  14992 693600    0    0     0     8  192  122  0  0 100  0  0
 0  0 867304 4736216  14992 693604    2    0     2     0  204  113  0  0 100  0  0
 0  0 867304 4736280  15000 693604    6    0     6    14  186  119  0  0 100  0  0
 0  0 867304 4736280  15004 693608    0    0     0    10  162  100  0  0 100  0  0
 0  0 867304 4737064  15004 693608    2    0     2     0  191  120  0  0 100  0  0
 0  0 867304 4737308  15012 693600    0    0     0    22  174  115  0  0 100  0  0
 0  0 867304 4737308  15012 693608    0    0     0     6  209  116  0  0 100  0  0
 0  0 867304 4737308  15012 693612    0    0     0     0  194  102  0  0 100  0  0
 0  0 867304 4737308  15020 693604    0    0     0    22  195  110  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 867304 4737308  15020 693612    0    0     0     8  170   89  0  0 100  0  0
 0  0 867048 4737308  15020 693612   48    0    48     0  216  139  0  0 100  0  0
 0  0 866792 4737308  15028 693616    8    0     8    14  210  153  0  0 100  0  0
 0  0 866792 4737308  15028 693616    0    0     0     8  177   99  0  0 100  0  0
 0  0 866792 4737308  15028 693616    0    0     0     0  180  101  0  0 100  0  0
 0  0 866792 4737308  15036 693608    0    0     0    14  182  110  0  0 100  0  0
 0  0 866792 4737308  15036 693620    0    0     0     8  166   96  0  0 100  0  0
 0  0 866792 4737084  15036 693620    2    0     2     0  188  114  0  0 100  0  0
 0  0 866792 4737084  15044 693612    0    0     0    14  153   98  0  0 100  0  0
 0  0 866792 4737084  15044 693620    0    0     0     6  158   99  0  0 100  0  0
 0  0 866792 4737084  15044 693624    2    0     2     0  188  106  0  0 100  0  0
 0  0 866792 4737084  15052 693624    0    0     0    14  178  109  0  0 100  0  0
 0  0 866792 4737084  15052 693624    0    0     0     8  168   94  0  0 100  0  0
 0  0 866792 4737084  15052 693624    4    0     4     0  197  118  0  0 100  0  0
 0  0 866792 4737084  15060 693616    0    0     0    14  169   99  0  0 100  0  0
 0  0 866792 4737084  15060 693628    0    0     0     8  171   97  0  0 100  0  0
 0  0 866792 4736860  15060 693628    0    0     0     0  183   97  0  0 100  0  0
 0  0 866792 4736860  15068 693620    0    0     0    14  173  105  0  0 100  0  0
 0  0 866792 4736860  15068 693628    0    0     0     6  164   95  0  0 100  0  0
 0  0 866792 4736860  15068 693632    0    0     0     0  182  109  0  0 100  0  0
 0  0 866792 4736636  15076 693632    0    0     0    14  167  101  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 866792 4736636  15076 693632    0    0     0     8  181  111  0  0 100  0  0
 0  0 866792 4736636  15076 693636   30    0    30     0  219  140  0  0 100  0  0
 0  0 866792 4736636  15084 693636    0    0     0    14  177  114  0  0 100  0  0
 0  0 866792 4736636  15084 693636    0    0     0     8  160   86  0  0 100  0  0
 0  0 866792 4736412  15084 693636    6    0     6     0  200  120  0  0 100  0  0
 0  0 866792 4736412  15092 693628    0    0     0    14  163   99  0  0 100  0  0
 0  0 866792 4736412  15092 693640    0    0     0     6  209  111  0  0 100  0  0
 0  0 866792 4736412  15092 693640    2    0     2     0  188  109  0  0 100  0  0
 0  0 866792 4736444  15100 693632    0    0     0    14  199  108  0  0 100  0  0
 0  0 866792 4736316  15100 693640    2    0     2     8  188  118  0  0 100  0  0
 0  0 866792 4736348  15100 693640    4    0     4     0  203  121  0  0 100  0  0
 0  0 866792 4736348  15108 693644    2    0     2    14  197  149  0  0 100  0  0
 0  0 866792 4736124  15108 693644    0    0     0     8  174  103  0  0 100  0  0
 0  0 866792 4735648  15108 693644    2    0     2     0  173   98  0  0 100  0  0
 0  0 866792 4735648  15116 693636    0    0     0    14  188  118  0  0 100  0  0
 0  0 866792 4735648  15116 693648    0    0     0     8  174  104  0  0 100  0  0
 0  0 866792 4735424  15132 693716   42    0    76    32  215  144  0  0 100  0  0
 0  0 866792 4735424  15132 693720    0    0     0     6  175   98  0  0 100  0  0
 0  0 866792 4735424  15136 693720    0    0     0    10  164   91  0  0 100  0  0
 0  0 866792 4735424  15144 693728    0    0     0    36  225  118  0  0 100  0  0
 0  0 866792 4735424  15144 693728    0    0     0     0  159  101  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 866792 4735424  15144 693728    0    0     0    34  171   98  0  0 100  0  0
 0  0 866792 4735424  15152 693728    0    0     0    14  191  112  0  0 100  0  0
 0  0 866792 4735424  15152 693732    0    0     0     0  157   90  0  0 100  0  0
 1  0 866792 4735424  15152 693732    0    0     0     8  178  103  0  0 100  0  0
 0  0 866792 4735200  15160 693732    0    0     0    14  180  106  0  0 100  0  0
 0  0 866792 4735200  15160 693732    0    0     0     0  187  109  0  0 100  0  0
 0  0 866792 4735200  15160 693732    0    0     0     6  162   92  0  0 100  0  0
 0  0 866792 4735200  15168 693736    2    0     2    14  193  121  0  0 100  0  0
 0  0 866792 4735200  15168 693736    0    0     0     0  157   87  0  0 100  0  0
 0  0 866792 4734976  15168 693736    0    0     0     8  194  121  0  0 100  0  0
 0  0 866792 4734976  15176 693732    0    0     0    14  208  118  0  0 100  0  0
 0  0 866792 4734976  15176 693740    0    0     0     0  172  102  0  0 100  0  0
 0  0 866792 4734976  15176 693740    0    0     0     8  169   92  0  0 100  0  0
 0  0 866792 4735008  15184 693732    0    0     0    14  185  109  0  0 100  0  0
 0  0 866792 4735008  15184 693740    0    0     0     0  154   86  0  0 100  0  0
 0  0 866792 4735008  15184 693744    0    0     0     8  208  119  0  0 100  0  0
 0  0 866792 4734504  15192 693744    8    0     8    38  274  147  0  0 100  0  0
 0  0 866792 4734504  15192 693744    0    0     0     0  184  105  0  0 100  0  0
 0  0 866792 4734504  15200 693736    0    0     0   130  205  119  0  0 100  0  0
